DATE COLLECTED,ECOSYSTEM,CHAMBER #,GC RUN DATE,FILENAME,NOTES
7/20/23,STD,STD,7/25/23,t0_07202023_001,
7/20/23,STD,STD,7/25/23,t0_07202023_002,
7/20/23,STD,STD,7/25/23,t0_07202023_003,
7/20/23,STD,STD,7/25/23,t0_07202023_004,
7/20/23,STD,STD,7/25/23,t0_07202023_005,
7/20/23,STD,STD,7/25/23,t0_07202023_006,
7/20/23,NWd,1-1,7/25/23,t0_07202023_007,
7/20/23,NWd,1-2,7/25/23,t0_07202023_008,
7/20/23,NWd,1-3,7/25/23,t0_07202023_009,
7/20/23,NWd,1-4,7/25/23,t0_07202023_010,
7/20/23,NWd,2-1,7/25/23,t0_07202023_011,
7/20/23,NWd,2-2,7/25/23,t0_07202023_012,
7/20/23,NWd,2-3,7/25/23,t0_07202023_013,
7/20/23,NWd,2-4,7/25/23,t0_07202023_014,
7/20/23,STD,STD,7/25/23,t0_07202023_015,
7/20/23,NWd,3-1,7/25/23,t0_07202023_016,
7/20/23,NWd,3-2,7/25/23,t0_07202023_017,
7/20/23,NWd,3-3,7/25/23,t0_07202023_018,
7/20/23,NWd,3-4,7/25/23,t0_07202023_019,
7/20/23,SWd,1-1,7/25/23,t0_07202023_020,
7/20/23,SWd,1-2,7/25/23,t0_07202023_021,
7/20/23,SWd,1-3,7/25/23,t0_07202023_022,
7/20/23,SWd,1-4,7/25/23,t0_07202023_023,
7/20/23,STD,STD,7/25/23,t0_07202023_024,
7/20/23,SWd,2-1,7/25/23,t0_07202023_025,
7/20/23,SWd,2-2,7/25/23,t0_07202023_026,
7/20/23,SWd,2-3,7/25/23,t0_07202023_027,
7/20/23,SWd,2-4,7/25/23,t0_07202023_028,
7/20/23,SWd,3-1,7/25/23,t0_07202023_029,
7/20/23,SWd,3-2,7/25/23,t0_07202023_030,
7/20/23,SWd,3-3,7/25/23,t0_07202023_031,
7/20/23,SWd,3-4,7/25/23,t0_07202023_032,
7/20/23,STD,STD,7/25/23,t0_07202023_033,
7/20/23,Pr,1-1,7/25/23,t0_07202023_034,
7/20/23,Pr,1-2,7/25/23,t0_07202023_035,
7/20/23,Pr,1-3,7/25/23,t0_07202023_036,
7/20/23,Pr,1-4,7/25/23,t0_07202023_037,
7/20/23,Pr,2-1,7/25/23,t0_07202023_038,
7/20/23,Pr,2-2,7/25/23,t0_07202023_039,
7/20/23,Pr,2-3,7/25/23,t0_07202023_040,
7/20/23,Pr,2-4,7/25/23,t0_07202023_041,
7/20/23,STD,STD,7/25/23,t0_07202023_042,
7/20/23,Pr,3-1,7/25/23,t0_07202023_043,
7/20/23,Pr,3-2,7/25/23,t0_07202023_044,
7/20/23,Pr,3-3,7/25/23,t0_07202023_045,
7/20/23,Pr,3-4,7/25/23,t0_07202023_046,
7/20/23,Wt,1-1,7/25/23,t0_07202023_047,
7/20/23,Wt,1-2,7/25/23,t0_07202023_048,
7/20/23,Wt,1-3,7/25/23,t0_07202023_049,
7/20/23,Wt,1-4,7/25/23,t0_07202023_050,
7/20/23,STD,STD,7/25/23,t0_07202023_051,
7/20/23,Wt,2-1,7/25/23,t0_07202023_052,
7/20/23,Wt,2-2,7/25/23,t0_07202023_053,
7/20/23,Wt,2-3,7/25/23,t0_07202023_054,
7/20/23,Wt,2-4,7/25/23,t0_07202023_055,
7/20/23,Wt,3-1,7/25/23,t0_07202023_056,
7/20/23,Wt,3-2,7/25/23,t0_07202023_057,
7/20/23,Wt,3-3,7/25/23,t0_07202023_058,
7/20/23,Wt,3-4,7/25/23,t0_07202023_059,
7/20/23,STD,STD,7/25/23,t0_07202023_060,
7/20/23,Wt,4-1,7/25/23,t0_07202023_061,
7/20/23,Wt,4-2,7/25/23,t0_07202023_062,
7/20/23,Wt,4-3,7/25/23,t0_07202023_063,
7/20/23,Wt,4-4,7/25/23,t0_07202023_064,
7/20/23,NWd ,P1-1,7/25/23,t0_07202023_065,
7/20/23,NWd ,P2-1,7/25/23,t0_07202023_066,
7/20/23,NWd ,P3-1,7/25/23,t0_07202023_067,
7/20/23,SWd,P1-1,7/25/23,t0_07202023_068,
7/20/23,SWd,P2-1,7/25/23,t0_07202023_069,
7/20/23,SWd,P3-1,7/25/23,t0_07202023_070,
7/20/23,STD,STD,7/25/23,t0_07202023_071,
7/20/23,Pr,P1-1,7/25/23,t0_07202023_072,
7/20/23,Pr,P2-1,7/25/23,t0_07202023_073,
7/20/23,Pr,P3-1,7/25/23,t0_07202023_074,
7/20/23,Wt,P1-1,7/25/23,t0_07202023_075,
7/20/23,Wt,P2-1,7/25/23,t0_07202023_076,
7/20/23,Wt,P3-1,7/25/23,t0_07202023_077,
7/20/23,Wt,P4-1,7/25/23,t0_07202023_078,
7/20/23,STD,STD,7/25/23,t0_07202023_079,
7/20/23,NWd ,P1-2,7/25/23,t0_07202023_080,
7/20/23,NWd ,P2-2,7/25/23,t0_07202023_081,
7/20/23,NWd ,P3-2,7/25/23,t0_07202023_082,
7/20/23,SWd,P1-2,7/25/23,t0_07202023_083,
7/20/23,SWd,P2-2,7/25/23,t0_07202023_084,
7/20/23,SWd,P3-2,7/25/23,t0_07202023_085,
7/20/23,STD,STD,7/25/23,t0_07202023_086,
7/20/23,Pr,P1-2,7/25/23,t0_07202023_087,
7/20/23,Pr,P2-2,7/25/23,t0_07202023_088,
7/20/23,Pr,P3-2,7/25/23,t0_07202023_089,
7/20/23,Wt,P1-2,7/25/23,t0_07202023_090,
7/20/23,Wt,P2-2,7/25/23,t0_07202023_091,
7/20/23,Wt,P3-2,7/25/23,t0_07202023_092,
7/20/23,Wt,P4-2,7/25/23,t0_07202023_093,
7/20/23,STD,STD,7/25/23,t0_07202023_094,