chamber,date,soil_moist_percent,soil_temp_c,plant_cover_percent
SW 1-1,5/18/23,54.2,14,na
SW 1-2,5/18/23,53.6,13.9,na
SW 1-3,5/18/23,52.1,13.6,na
SW 1-4,5/18/23,53.4,13.7,na
SW 2-1,5/18/23,46.2,14.8,80
SW 2-2,5/18/23,52.8,14.7,50
SW 2-3,5/18/23,52.9,15.1,10
SW 2-4,5/18/23,48.8,14.9,80
UP 1-1,5/18/23,40.8,14.8,na
UP 1-2,5/18/23,40.2,14.6,na
UP 1-3,5/18/23,40.8,14.2,na
UP 1-4,5/18/23,42.9,14.3,na
UP 2-1,5/18/23,29.8,15.7,na
UP 2-2,5/18/23,28.3,15.8,na
UP 2-3,5/18/23,33.9,15.6,na
UP 2-4,5/18/23,22.3,15.8,na
SW 1-1,3/22/23,na,na,na
SW 1-2,3/22/23,na,na,na
SW 1-3,3/22/23,na,na,na
SW 1-4,3/22/23,na,na,na
SW 2-1,3/22/23,55.2,6.3,na
SW 2-2,3/22/23,55.8,na,na
SW 2-3,3/22/23,57.2,6.8,na
SW 2-4,3/22/23,56.1,5.9,na
UP 1-1,3/22/23,53.3,5.2,na
UP 1-2,3/22/23,52.4,4.9,na
UP 1-3,3/22/23,54.7,4.9,na
UP 1-4,3/22/23,54.1,4.8,na
UP 2-1,3/22/23,49.1,5.3,na
UP 2-2,3/22/23,48.9,5.7,na
UP 2-3,3/22/23,49.2,5.4,na
UP 2-4,3/22/23,43.1,5.3,na
SW 1-1,6/15/23,41.3,24.1,15
SW 1-2,6/15/23,45.2,24.4,5
SW 1-3,6/15/23,40.1,24.2,10
SW 1-4,6/15/23,45.7,23.9,30
SW 2-1,6/15/23,11.9,18.8,40
SW 2-2,6/15/23,14.1,19.1,5
SW 2-3,6/15/23,19.5,18.2,10
SW 2-4,6/15/23,25.3,18.2,60
UP 1-1,6/15/23,17.3,18.8,40
UP 1-2,6/15/23,21.9,18.3,45
UP 1-3,6/15/23,25.5,18,30
UP 1-4,6/15/23,23.5,17.9,35
UP 2-1,6/15/23,13.3,18.8,10
UP 2-2,6/15/23,22.1,18.6,15
UP 2-3,6/15/23,15.8,18.1,5
UP 2-4,6/15/23,15.3,18.5,25
SW 1-1,2/6/23,39.7,20.2,na
SW 1-2,2/6/23,45.9,20.7,na
SW 1-3,2/6/23,43.1,20.3,na
SW 1-4,2/6/23,44.5,19.2,na
SW 2-1,2/6/23,15.9,20.9,50
SW 2-2,2/6/23,36.5,20.3,15
SW 2-3,2/6/23,32.1,20.2,5
SW 2-4,2/6/23,18.8,20.4,60
UP 1-1,2/6/23,14.7,21.1,na
UP 1-2,2/6/23,13.1,20.8,na
UP 1-3,2/6/23,17.9,20.4,na
UP 1-4,2/6/23,12.4,19.5,na
UP 2-1,2/6/23,8.9,21.5,15
UP 2-2,2/6/23,5,22.1,15
UP 2-3,2/6/23,10.9,21.7,25
UP 2-4,2/6/23,5.5,22.3,30
SW 1-1,7/18/23,47.5,20.2,40
SW 1-2,7/18/23,46.9,20.1,25
SW 1-3,7/18/23,43.1,19.7,50
SW 1-4,7/18/23,46.8,19.7,40
SW 2-1,7/18/23,25.9,23.8,65
SW 2-2,7/18/23,38,23.3,<5
SW 2-3,7/18/23,32.2,23.3,25
SW 2-4,7/18/23,30.7,23.1,55
UP 1-1,7/18/23,26.4,25.2,70
UP 1-2,7/18/23,27.5,24.3,25
UP 1-3,7/18/23,28.9,23.2,40
UP 1-4,7/18/23,27.6,22.8,15
UP 2-1,7/18/23,21.7,21.2,35
UP 2-2,7/18/23,25.5,21.7,45
UP 2-3,7/18/23,28.2,21.8,15
UP 2-4,7/18/23,28.7,21.4,30
SW 1-1,6/7/23,47.5,23.7,30
SW 1-2,6/7/23,47.1,23.7,20
SW 1-3,6/7/23,45,23.2,35
SW 1-4,6/7/23,45.2,22.7,50
SW 2-1,6/7/23,26.1,22.4,60
SW 2-2,6/7/23,29.9,21.9,5
SW 2-3,6/7/23,36.3,22.3,35
SW 2-4,6/7/23,36.6,22.4,85
UP 1-1,6/7/23,37.3,23.9,30
UP 1-2,6/7/23,36.8,23.5,40
UP 1-3,6/7/23,37.1,23.9,20
UP 1-4,6/7/23,35.8,23.3,40
UP 2-1,6/7/23,37.6,23.7,20
UP 2-2,6/7/23,39.1,24,30
UP 2-3,6/7/23,37.8,24,<5
UP 2-4,6/7/23,41.2,23.9,40
SW 1-1,8/18/23,50.8,19.4,70
SW 1-2,8/18/23,53.9,20.1,90
SW 1-3,8/18/23,na,na,na
SW 1-4,8/18/23,na,na,na
SW 2-1,8/18/23,na,na,na
SW 2-2,8/18/23,na,na,na
SW 2-3,8/18/23,na,na,na
SW 2-4,8/18/23,na,na,na
UP 1-1,8/18/23,43.1,20.1,80
UP 1-2,8/18/23,36.4,19.8,70
UP 1-3,8/18/23,39.9,20.1,10
UP 1-4,8/18/23,36.5,20.8,10
UP 2-1,8/18/23,40.6,21.6,20
UP 2-2,8/18/23,45.2,20.9,35
UP 2-3,8/18/23,43.9,21.2,10
UP 2-4,8/18/23,36.6,21.3,30
SW 1-1,8/2/23,34.9,24.1,na
SW 1-2,8/2/23,43.1,23.9,na
SW 1-3,8/2/23,22.5,23.1,na
SW 1-4,8/2/23,41.9,22.9,na
SW 2-1,8/2/23,15.2,23.9,40
SW 2-2,8/2/23,33.2,23.2,15
SW 2-3,8/2/23,30.6,22.9,30
SW 2-4,8/2/23,24.1,22.4,45
UP 1-1,8/2/23,27.5,24.3,na
UP 1-2,8/2/23,24.7,23.6,na
UP 1-3,8/2/23,24.9,23.4,na
UP 1-4,8/2/23,24.1,23.3,na
UP 2-1,8/2/23,24.7,24.3,15
UP 2-2,8/2/23,27.2,24.1,35
UP 2-3,8/2/23,33.9,23.7,<5
UP 2-4,8/2/23,20.3,23.6,40