site,plot,depth_cm,sand,silt,clay,texture
jwp ,Swale-1,0-10,35.7,64.3,0,Silt Loam
jwp ,Swale-1,10-20,35.6,64.4,0,Silt Loam
jwp ,Swale-1,20-30,31.9,20.1,48,Clay
jwp ,Swale-1,30-40,,,100,Clay
jwp ,Swale-1,40-50,37.4,62.6,0,Silt Loam
jwp ,Swale-1,50-60,24.6,17.3,58.1,Clay
jwp ,Swale-1,60-70,25,20.1,54.9,Clay
jwp ,Swale-1,70-80,32.7,15.1,52.2,Clay
jwp ,Swale-1,80-90,33.5,64.9,1.6,Silt Loam
jwp ,Swale-1,90-100,27.2,3,69.8,Clay
jwp,Swale-2,0-10,26.1,19.5,54.4,Clay 
jwp,Swale-2,10-20,,,100,Clay
jwp,Swale-2,20-30,48.2,0.1,51.7,Sandy Clay
jwp,Swale-2,30-40,27,15.7,57.3,Clay
jwp,Swale-2,40-50,,,100,Clay
jwp,Swale-2,50-60,,,100,Clay
jwp,Swale-2,60-70,,,100,Clay
jwp,Swale-2,70-80,34.2,13,52.8,Clay
jwp,Swale-2,80-90,32.7,16.4,50.9,Clay
jwp,Swale-2,90-100,,,100,Clay
jwp,Upland-1,0-10,69.9,30.1,0,Sandy Loam
jwp,Upland-1,10-20,,,100,Clay
jwp,Upland-1,20-30,,,100,Clay
jwp,Upland-1,30-40,18.6,16.8,64.6,Clay
jwp,Upland-1,40-50,27.9,72.1,0,Silt Loam
jwp,Upland-1,50-60,,,100,Clay
jwp,Upland-1,60-70,,,100,Clay
jwp,Upland-1,70-80,,,100,Clay
jwp,Upland-1,80-90,,,100,Clay
jwp,Upland-1,90-100,,,100,Clay
jwp,Upland-2,0-10,0,56.8,43.2,Silty Clay
jwp,Upland-2,10-20,28.9,14.9,56.2,Clay
jwp,Upland-2,20-30,30.7,61.4,7.9,Silt Loam
jwp,Upland-2,30-40,30.7,17.8,51.5,Clay
jwp,Upland-2,40-50,,,100,Clay
jwp,Upland-2,50-60,21.8,22.5,55.7,Clay
jwp,Upland-2,60-70,,,100,Clay
jwp,Upland-2,70-80,,,100,Clay
jwp,Upland-2,80-90,13.4,25.8,60.8,Clay
jwp,Upland-2,90-100,31.6,15.3,53.1,Clay