site,plot,depth_cm,sand,silt,clay,texture,Remarks
jwp ,Swale-1,0-10,28.6,11.7,59.7,clay,
jwp ,Swale-1,10-20,31.4,14,54.6,clay,
jwp ,Swale-1,20-30,31.9,20.1,48,Clay,
jwp ,Swale-1,30-40,28.5,12.6,58.9,Clay,Corrected by Junior
jwp ,Swale-1,40-50,26.9,15.3,57.8,clay,
jwp ,Swale-1,50-60,24.6,17.3,58.1,Clay,
jwp ,Swale-1,60-70,25,20.1,54.9,Clay,
jwp ,Swale-1,70-80,32.7,15.1,52.2,Clay,
jwp ,Swale-1,80-90,33.5,64.9,1.6,Silt Loam,
jwp ,Swale-1,90-100,27.2,3,69.8,Clay,
jwp,Swale-2,0-10,26.1,19.5,54.4,Clay ,
jwp,Swale-2,10-20,28.6,12.7,58.7,Clay,Corrected by Junior
jwp,Swale-2,20-30,48.2,0.1,51.7,Sandy Clay,
jwp,Swale-2,30-40,27,15.7,57.3,Clay,
jwp,Swale-2,40-50,35.4,7.1,57.5,Clay,Corrected by Junior
jwp,Swale-2,50-60,33.9,10.7,55.5,Clay,newly processed
jwp,Swale-2,60-70,32.3,12.2,55.5,Clay,Corrected by Junior
jwp,Swale-2,70-80,34.2,13,52.8,Clay,
jwp,Swale-2,80-90,32.7,16.4,50.9,Clay,
jwp,Swale-2,90-100,28.1,17.3,54.6,Clay,Corrected by Junior
jwp,Upland-1,0-10,14.3,78.8,6.9,Silt Loam,Newly processed
jwp,Upland-1,10-20,18.5,20.4,61.1,Clay,Corrected by Junior
jwp,Upland-1,20-30,16.8,18.1,65.1,Clay,Corrected by Junior
jwp,Upland-1,30-40,18.6,16.8,64.6,Clay,
jwp,Upland-1,40-50,15.9,19.2,64.9,clay,Newly processed
jwp,Upland-1,50-60,10.3,21.5,68.2,Clay,Newly processed
jwp,Upland-1,60-70,22.8,21.4,55.8,Clay,Corrected by Junior
jwp,Upland-1,70-80,29.5,15.1,55.4,Clay,Corrected by Junior
jwp,Upland-1,80-90,24.7,19.6,55.7,Clay,Corrected by Junior
jwp,Upland-1,90-100,28.7,17.9,53.4,Clay,Corrected by Junior
jwp,Upland-2,0-10,7.5,82.3,10.2,Silt ,Newly processed
jwp,Upland-2,10-20,28.9,14.9,56.2,Clay,
jwp,Upland-2,20-30,30.7,61.4,7.9,Silt Loam,
jwp,Upland-2,30-40,30.7,17.8,51.5,Clay,
jwp,Upland-2,40-50,29.9,13.1,57,Clay,Newly processed
jwp,Upland-2,50-60,21.8,22.5,55.7,Clay,
jwp,Upland-2,60-70,18.1,20.7,61.2,Clay,Corrected by Junior
jwp,Upland-2,70-80,12.7,27.2,60.1,Clay,Corrected by Junior
jwp,Upland-2,80-90,13.4,25.8,60.8,Clay,
jwp,Upland-2,90-100,31.6,15.3,53.1,Clay,